NGDC_Ship,NGDC_Cruise,NGDC_Sample,NGDC_Serial,NGDC_Comment,Location,Location Type,Expedition,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,Google Earth Comment Field,serial,,
ground,EVERG,EVERG-EVERG04-18B,505,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,18,B,18B,04-22-04-2,EVERG-EVERG04-18B,ground,20040422,,USA,Florida,Miami-Dade,Paul Glaser,25.69716,-80.58758,1,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.22,0.36,PI,LacCoreID: EVERG-EVERG04-18B / FieldID: 04-22-04-2 / Date: 2004-04-22 / Water Depth: m / Sediment Depth: 0.22-0.36m / Position: exact (read from GPS) / Sample Type: core,1259,,4503
ground,EVERG,EVERG-EVERG04-19A,506,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,19,A,19A,04-22-04-3,EVERG-EVERG04-19A,ground,20040422,,USA,Florida,Miami-Dade,Paul Glaser,25.71401,-80.54137,1,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.3,0.93,PI,LacCoreID: EVERG-EVERG04-19A / FieldID: 04-22-04-3 / Date: 2004-04-22 / Water Depth: m / Sediment Depth: 0.3-0.93m / Position: exact (read from GPS) / Sample Type: core,1260,,4504
ground,EVERG,EVERG-EVERG04-20A,507,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,20,A,20A,04-23-04-1 ,EVERG-EVERG04-20A,ground,20040423,,USA,Florida,Miami-Dade,Paul Glaser,25.74381,-80.66099,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.22,0.63,PI,LacCoreID: EVERG-EVERG04-20A / FieldID: 04-23-04-1  / Date: 2004-04-23 / Water Depth: m / Sediment Depth: 0.22-0.63m / Position: exact (read from GPS) / Sample Type: core,1261,,4505
ground,EVERG,EVERG-EVERG04-20B,508,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,20,B,20B,04-23-04-2,EVERG-EVERG04-20B,ground,20040423,,USA,Florida,Miami-Dade,Paul Glaser,25.74381,-80.66099,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.25,0.71,PI,LacCoreID: EVERG-EVERG04-20B / FieldID: 04-23-04-2 / Date: 2004-04-23 / Water Depth: m / Sediment Depth: 0.25-0.71m / Position: exact (read from GPS) / Sample Type: core,1262,,4506
ground,EVERG,EVERG-EVERG04-21A,509,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,21,A,21A,04-23-04-3,EVERG-EVERG04-21A,ground,20040423,,USA,Florida,Miami-Dade,Paul Glaser,25.74642,-80.58386,1,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,,,PI,LacCoreID: EVERG-EVERG04-21A / FieldID: 04-23-04-3 / Date: 2004-04-23 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,1263,,4507
ground,EVERG,EVERG-EVERG04-21B,510,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,21,B,21B,04-23-04-4,EVERG-EVERG04-21B,ground,20040423,,USA,Florida,Miami-Dade,Paul Glaser,25.74642,-80.58386,1,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,,,PI,LacCoreID: EVERG-EVERG04-21B / FieldID: 04-23-04-4 / Date: 2004-04-23 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,1264,,4508
ground,EVERG,EVERG-EVERG04-22A,511,Country: USA / State/Province: Florida / County/Region: Broward,Everglades,wetland,EVERG,EVERG,22,A,22A,11-12-04-1,EVERG-EVERG04-22A,ground,20041112,,USA,Florida,Broward,Paul Glaser,26,-80.6,2,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0.65,1.46,PI,LacCoreID: EVERG-EVERG04-22A / FieldID: 11-12-04-1 / Date: 2004-11-12 / Water Depth: m / Sediment Depth: 0.65-1.46m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1265,,4509
ground,EVERG,EVERG-EVERG04-22B,512,Country: USA / State/Province: Florida / County/Region: Broward,Everglades,wetland,EVERG,EVERG,22,B,22B,11-12-04-2,EVERG-EVERG04-22B,ground,20041112,,USA,Florida,Broward,Paul Glaser,26,-80.6,2,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0.63,1.06,PI,LacCoreID: EVERG-EVERG04-22B / FieldID: 11-12-04-2 / Date: 2004-11-12 / Water Depth: m / Sediment Depth: 0.63-1.06m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1266,,4510
ground,EVERG,EVERG-EVERG04-23A,513,Country: USA / State/Province: Florida / County/Region: Broward,Everglades,wetland,EVERG,EVERG,23,A,23A,11-13-04-1,EVERG-EVERG04-23A,ground,20041113,,USA,Florida,Broward,Paul Glaser,26.055,-80.69,2,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0.69,1.18,PI,LacCoreID: EVERG-EVERG04-23A / FieldID: 11-13-04-1 / Date: 2004-11-13 / Water Depth: m / Sediment Depth: 0.69-1.18m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1267,,4511
ground,EVERG,EVERG-EVERG04-23B,514,Country: USA / State/Province: Florida / County/Region: Broward,Everglades,wetland,EVERG,EVERG,23,B,23B,11-13-04-2,EVERG-EVERG04-23B,ground,20041113,,USA,Florida,Broward,Paul Glaser,26.055,-80.69,2,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0.49,0.98,PI,LacCoreID: EVERG-EVERG04-23B / FieldID: 11-13-04-2 / Date: 2004-11-13 / Water Depth: m / Sediment Depth: 0.49-0.98m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1268,,4512
ground,EVERG,EVERG-EVERG04-24A,515,Country: USA / State/Province: Florida / County/Region: Broward,Everglades,wetland,EVERG,EVERG,24,A,24A,11-13-04-3,EVERG-EVERG04-24A,ground,20041113,,USA,Florida,Broward,Paul Glaser,26.05526,-80.6907,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.53,1.03,PI,LacCoreID: EVERG-EVERG04-24A / FieldID: 11-13-04-3 / Date: 2004-11-13 / Water Depth: m / Sediment Depth: 0.53-1.03m / Position: exact (read from GPS) / Sample Type: core,1269,,4513
ground,EVERG,EVERG-EVERG04-25A,516,Country: USA / State/Province: Florida / County/Region: Broward,Everglades,wetland,EVERG,EVERG,25,A,25A,11-13-04-4,EVERG-EVERG04-25A,ground,20041113,,USA,Florida,Broward,Paul Glaser,26.05587,-80.6916,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.82,1.29,PI,LacCoreID: EVERG-EVERG04-25A / FieldID: 11-13-04-4 / Date: 2004-11-13 / Water Depth: m / Sediment Depth: 0.82-1.29m / Position: exact (read from GPS) / Sample Type: core,1270,,4514
ground,EVERG,EVERG-EVERG04-26A,517,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,26,A,26A,11-14-04-1,EVERG-EVERG04-26A,ground,20041114,,USA,Florida,Miami-Dade,Paul Glaser,25.8322,-80.54244,1,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.69,1.66,PI,LacCoreID: EVERG-EVERG04-26A / FieldID: 11-14-04-1 / Date: 2004-11-14 / Water Depth: m / Sediment Depth: 0.69-1.66m / Position: exact (read from GPS) / Sample Type: core,1271,,4515
ground,EVERG,EVERG-EVERG04-27A,518,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,27,A,27A,11-15-04-1,EVERG-EVERG04-27A,ground,20041115,,USA,Florida,Miami-Dade,Paul Glaser,25.80465,-80.75911,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.87,1.42,PI,LacCoreID: EVERG-EVERG04-27A / FieldID: 11-15-04-1 / Date: 2004-11-15 / Water Depth: m / Sediment Depth: 0.87-1.42m / Position: exact (read from GPS) / Sample Type: core,1272,,4516
ground,EVERG,EVERG-EVERG04-28A,519,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,28,A,28A,11-15-04-2,EVERG-EVERG04-28A,ground,20041115,,USA,Florida,Miami-Dade,Paul Glaser,25.80523,-80.76084,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,1.36,1.84,PI,LacCoreID: EVERG-EVERG04-28A / FieldID: 11-15-04-2 / Date: 2004-11-15 / Water Depth: m / Sediment Depth: 1.36-1.84m / Position: exact (read from GPS) / Sample Type: core,1273,,4517
ground,EVERG,EVERG-EVERG04-29A,520,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,29,A,29A,11-15-04-3,EVERG-EVERG04-29A,ground,20041115,,USA,Florida,Miami-Dade,Paul Glaser,25.80644,-80.76927,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.91,1.46,PI,LacCoreID: EVERG-EVERG04-29A / FieldID: 11-15-04-3 / Date: 2004-11-15 / Water Depth: m / Sediment Depth: 0.91-1.46m / Position: exact (read from GPS) / Sample Type: core,1274,,4518
ground,EVERG,EVERG-EVERG04-30A,521,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,30,A,30A,11-15-04-4,EVERG-EVERG04-30A,ground,20041115,,USA,Florida,Miami-Dade,Paul Glaser,25.80625,-80.7682,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,,,PI,LacCoreID: EVERG-EVERG04-30A / FieldID: 11-15-04-4 / Date: 2004-11-15 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,1275,,4519
ground,EVERG,EVERG-EVERG04-31A,522,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,31,A,31A,11-16-04-1,EVERG-EVERG04-31A,ground,20041116,,USA,Florida,Miami-Dade,Paul Glaser,25.80589,-80.76521,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,1,1.42,PI,LacCoreID: EVERG-EVERG04-31A / FieldID: 11-16-04-1 / Date: 2004-11-16 / Water Depth: m / Sediment Depth: 1-1.42m / Position: exact (read from GPS) / Sample Type: core,1276,,4520
ground,EVERG,EVERG-EVERG04-32A,523,Country: USA / State/Province: Florida / County/Region: Miami-Dade,Everglades,wetland,EVERG,EVERG,32,A,32A,11-16-04-2,EVERG-EVERG04-32A,ground,20041116,,USA,Florida,Miami-Dade,Paul Glaser,25.80613,-80.7657,2,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,1.21,1.6,PI,LacCoreID: EVERG-EVERG04-32A / FieldID: 11-16-04-2 / Date: 2004-11-16 / Water Depth: m / Sediment Depth: 1.21-1.6m / Position: exact (read from GPS) / Sample Type: core,1277,,4521
ice,NH,NH-FAL06-1A,524,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,1,A,1A,Fallison 1A,NH-FAL06-1A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-1A / FieldID: Fallison 1A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,2807,,4772
ice,NH,NH-FAL06-2A,525,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,2,A,2A,Fallison 2A,NH-FAL06-2A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-2A / FieldID: Fallison 2A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2808,,4773
ice,NH,NH-FAL06-3A,526,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,3,A,3A,Fallison 3A,NH-FAL06-3A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-3A / FieldID: Fallison 3A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2809,,4774
ice,NH,NH-FAL06-4A,527,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,4,A,4A,Fallison 4A,NH-FAL06-4A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-4A / FieldID: Fallison 4A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2810,,4775
ice,NH,NH-FAL06-5A,528,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,5,A,5A,Fallison 5A,NH-FAL06-5A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-5A / FieldID: Fallison 5A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2811,,4776
ice,NH,NH-FAL06-6A,529,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,6,A,6A,Fallison 6A,NH-FAL06-6A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-6A / FieldID: Fallison 6A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2812,,4777
ice,NH,NH-FAL06-7A,530,Country: USA / State/Province: Wisconsin / County/Region: Vilas,Fallison Lake,lake,NH,FAL,7,A,7A,Fallison 7A,NH-FAL06-7A,ice,20061231,,USA,Wisconsin,Vilas,Randy Calcote,45.9939,-89.61883,501,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: NH-FAL06-7A / FieldID: Fallison 7A / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2813,,4778
unknown,AK,AK-FAWA06-1A,531,Country: USA / State/Province: Alaska / County/Region: North Slope,Faraway Lake,lake,AK,FAWA,1,A,1A,Faraway A06-HC,AK-FAWA06-1A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.0573,-150.66594,1230,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.54,PI,LacCoreID: AK-FAWA06-1A / FieldID: Faraway A06-HC / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-0.54m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,264,,3894
unknown,AK,AK-FAWA06-2A,532,Country: USA / State/Province: Alaska / County/Region: North Slope,Faraway Lake,lake,AK,FAWA,2,A,2A,Faraway B06-HC,AK-FAWA06-2A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.0573,-150.66594,1230,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.53,PI,LacCoreID: AK-FAWA06-2A / FieldID: Faraway B06-HC / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-0.53m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,265,,3895
unknown,24,24-12689-3A,533,Country: USA / State/Province: Alaska / County/Region: Yukon-Koyukuk,Farewell Lake,lake,24,126,3,A,3A,,24-12689-3A,unknown,19891231,12.5,USA,Alaska,Yukon-Koyukuk,Feng Sheng Hu,62.565227,-153.658079,322,general (location within lake/site unknown or not digitized),University of Illinois-Urbana Champaign,University of Illinois-Urbana Champaign,core,,0,4.27,publication,LacCoreID: 24-12689-3A / FieldID:  / Date: 1989-12-31 / Water Depth: 12.5m / Sediment Depth: 0-4.27m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,59,,2352
unknown,24,24-12690-4A,534,Country: USA / State/Province: Alaska / County/Region: Yukon-Koyukuk,Farewell Lake,lake,24,126,4,A,4A,,24-12690-4A,unknown,19901231,10,USA,Alaska,Yukon-Koyukuk,Feng Sheng Hu,62.565227,-153.658079,322,general (location within lake/site unknown or not digitized),University of Illinois-Urbana Champaign,University of Illinois-Urbana Champaign,core,,0,4.09,publication,LacCoreID: 24-12690-4A / FieldID:  / Date: 1990-12-31 / Water Depth: 10m / Sediment Depth: 0-4.09m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,60,,2353
unknown,24,24-12695-2A,535,Country: USA / State/Province: Alaska / County/Region: Yukon-Koyukuk,Farewell Lake,lake,24,126,2,A,2A,,24-12695-2A,unknown,19951231,39,USA,Alaska,Yukon-Koyukuk,Feng Sheng Hu,62.565227,-153.658079,322,general (location within lake/site unknown or not digitized),University of Illinois-Urbana Champaign,University of Illinois-Urbana Champaign,core,,0.02,3.75,publication,LacCoreID: 24-12695-2A / FieldID:  / Date: 1995-12-31 / Water Depth: 39m / Sediment Depth: 0.02-3.75m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,61,,2354
unknown,24,24-12695-2B,536,Country: USA / State/Province: Alaska / County/Region: Yukon-Koyukuk,Farewell Lake,lake,24,126,2,B,2B,,24-12695-2B,unknown,19951231,39,USA,Alaska,Yukon-Koyukuk,Feng Sheng Hu,62.565227,-153.658079,322,general (location within lake/site unknown or not digitized),University of Illinois-Urbana Champaign,University of Illinois-Urbana Champaign,core,,0.89,2.89,publication,LacCoreID: 24-12695-2B / FieldID:  / Date: 1995-12-31 / Water Depth: 39m / Sediment Depth: 0.89-2.89m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,62,,2355
unknown,24,24-126xx-1A,537,Country: USA / State/Province: Alaska / County/Region: Yukon-Koyukuk,Farewell Lake,lake,24,126,1,A,1A,,24-126xx-1A,unknown,,55,USA,Alaska,Yukon-Koyukuk,Feng Sheng Hu,62.565227,-153.658079,322,general (location within lake/site unknown or not digitized),University of Illinois-Urbana Champaign,University of Illinois-Urbana Champaign,core,,0,1.15,publication,LacCoreID: 24-126xx-1A / FieldID:  / Date:  / Water Depth: 55m / Sediment Depth: 0-1.15m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,63,,2356
unknown,FEN,FEN-FEN06-1A,538,Country: Canada / State/Province: Ontario / County/Region: ,Fenton Lake,lake,FEN,FEN,1,A,1A,0625 AT,FEN-FEN06-1A,unknown,20061231,19.5,Canada,Ontario,,Andy Breckenridge,47.8558,-84.8788,250,general (location within lake/site unknown or not digitized),Mercyhurst College,LacCore_MRPH,core,,0.5,5.4,PI,LacCoreID: FEN-FEN06-1A / FieldID: 0625 AT / Date: 2006-12-31 / Water Depth: 19.5m / Sediment Depth: 0.5-5.4m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1309,,534
unknown,FEN,FEN-FEN06-1B,539,Country: Canada / State/Province: Ontario / County/Region: ,Fenton Lake,lake,FEN,FEN,1,B,1B,0625 BT,FEN-FEN06-1B,unknown,20061231,19.5,Canada,Ontario,,Andy Breckenridge,47.8558,-84.8788,250,general (location within lake/site unknown or not digitized),Mercyhurst College,LacCore_MRPH,core,,0,5.25,PI,LacCoreID: FEN-FEN06-1B / FieldID: 0625 BT / Date: 2006-12-31 / Water Depth: 19.5m / Sediment Depth: 0-5.25m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1310,,535
ice,WISP,WISP-FER01-1A,540,Country: USA / State/Province: Wisconsin / County/Region: Burnett,Ferry Lake,lake,WISP,FER,1,A,1A,Ferry ,WISP-FER01-1A,ice,20011231,,USA,Wisconsin,Burnett,Randy Calcote,46.013,-92.125,290,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,"PI, Publication",LacCoreID: WISP-FER01-1A / FieldID: Ferry  / Date: 2001-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,3751,,4779
ice,WISP,WISP-FER05-1A,541,Country: USA / State/Province: Wisconsin / County/Region: Burnett,Ferry Lake,lake,WISP,FER,1,A,1A,,WISP-FER05-1A,ice,20051231,,USA,Wisconsin,Burnett,Randy Calcote,46.013,-92.125,290,general (location within lake/site unknown or not digitized),LacCore_CivE,LacCore_CivE,core,,0,,"PI, Publication",LacCoreID: WISP-FER05-1A / FieldID:  / Date: 2005-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3752,,4780
unknown,LPL,LPL-FID04-1A,542,Country: USA / State/Province: Wyoming / County/Region: Fremont,Fiddler's Lake,lake,LPL,FID,1,A,1A,,LPL-FID04-1A,unknown,20041231,1.5,USA,Wyoming,Fremont,Dennis Dahms,42.6306,-108.8786,2872,general (location within lake/site unknown or not digitized),LacCore_Como,LacCore_Como,core,,2,10,PI,LacCoreID: LPL-FID04-1A / FieldID:  / Date: 2004-12-31 / Water Depth: 1.5m / Sediment Depth: 2-10m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2179,,2091
unknown,LPL,LPL-FID04-1B,543,Country: USA / State/Province: Wyoming / County/Region: Fremont,Fiddler's Lake,lake,LPL,FID,1,B,1B,,LPL-FID04-1B,unknown,20041231,1.5,USA,Wyoming,Fremont,Dennis Dahms,42.6306,-108.8786,2872,general (location within lake/site unknown or not digitized),LacCore_Como,LacCore_Como,core,,0.5,1.5,PI,LacCoreID: LPL-FID04-1B / FieldID:  / Date: 2004-12-31 / Water Depth: 1.5m / Sediment Depth: 0.5-1.5m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2180,,2092
ice,WISP,WISP-FPINE04-1A,544,Country: USA / State/Province: Wisconsin / County/Region: Bayfield,First Pine Lake,lake,WISP,FPINE,1,A,1A,First Pine,WISP-FPINE04-1A,ice,20041231,,USA,Wisconsin,Bayfield,Randy Calcote,46.65141,-91.23631,379,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: WISP-FPINE04-1A / FieldID: First Pine / Date: 2004-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,3753,,4781
unknown,COOL,COOL-1806-1A,545,Country: USA / State/Province: Idaho / County/Region: Baker,Fish Lake,lake,COOL,18,1,A,1A,,COOL-1806-1A,unknown,20061231,,USA,Idaho,Baker,Anna Henderson,45.04862,-117.09238,2035,exact (read from GPS),LacCore_CivE,LacCore_CivE,grab,,0,,PI,LacCoreID: COOL-1806-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: grab,841,,743
unknown,TLX,TLX-FSH08-1A,546,Country: USA / State/Province: Minnesota / County/Region: Lake,Fish Lake,lake,TLX,FSH,1,A,1A,,TLX-FSH08-1A,unknown,20081231,8.1,USA,Minnesota,Lake,"Kelly Wendt, Tom Johnson",43.8481753,-95.0405706,424,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,2.41,,LacCoreID: TLX-FSH08-1A / FieldID:  / Date: 2008-12-31 / Water Depth: 8.05m / Sediment Depth: 0-2.41m / Position: exact (read from GPS) / Sample Type: core,3590,,3421
unknown,TLX,TLX-FSH08-1B,547,Country: USA / State/Province: Minnesota / County/Region: Lake,Fish Lake,lake,TLX,FSH,1,B,1B,,TLX-FSH08-1B,unknown,20081231,8.1,USA,Minnesota,Lake,"Kelly Wendt, Tom Johnson",43.8481753,-95.0405706,424,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,1.12,,LacCoreID: TLX-FSH08-1B / FieldID:  / Date: 2008-12-31 / Water Depth: 8.05m / Sediment Depth: 0-1.12m / Position: exact (read from GPS) / Sample Type: core,3591,,3422
unknown,VASTC,VASTC-FLT09-1B,548,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,Flat Lake,lake,VASTC,FLT,1,B,1B,FLT09-1B-1N-01,VASTC-FLT09-1B,unknown,20090420,4.17,Canada,Nunavut,Baffin Island,"Gifford Miller, Chris Florian",64.71695,-70.79,148,general (location within lake/site unknown or not digitized),LacCore_MRPH,LacCore_MRPH,core,,0,1.005,PI,LacCoreID: VASTC-FLT09-1B / FieldID: FLT09-1B-1N-01 / Date: 2009-04-20 / Water Depth: 4.17m / Sediment Depth: 0-1.005m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3666,,2443
unknown,VASTC,VASTC-FLT09-2A,549,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,Flat Lake,lake,VASTC,FLT,2,A,2A,FLT09-2A-1N-01,VASTC-FLT09-2A,unknown,20090420,5.17,Canada,Nunavut,Baffin Island,"Gifford Miller, Chris Florian",64.71695,-70.72196667,148,exact (read from GPS),UC Boulder,LacCore_MRPH,core,,0,1.02,PI,LacCoreID: VASTC-FLT09-2A / FieldID: FLT09-2A-1N-01 / Date: 2009-04-20 / Water Depth: 5.17m / Sediment Depth: 0-1.02m / Position: exact (read from GPS) / Sample Type: core,3667,,2444
unknown,VASTC,VASTC-FLT09-2B,550,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,Flat Lake,lake,VASTC,FLT,2,B,2B,FLT09-2B-1N-01,VASTC-FLT09-2B,unknown,20090420,5.17,Canada,Nunavut,Baffin Island,"Gifford Miller, Chris Florian",64.71681667,-70.80983333,148,exact (read from GPS),UC Boulder,LacCore_MRPH,core,,0,0.95,PI,LacCoreID: VASTC-FLT09-2B / FieldID: FLT09-2B-1N-01 / Date: 2009-04-20 / Water Depth: 5.17m / Sediment Depth: 0-0.95m / Position: exact (read from GPS) / Sample Type: core,3668,,2445
unknown,FTB,FTB-FTB05-1A,551,Country: USA / State/Province: Hawaii / County/Region: Maui,Flat Top Bog,wetland,FTB,FTB,1,A,1A,Flat Top Core 1,FTB-FTB05-1A,unknown,20050801,0,USA,Hawaii,Maui,"Shelly Crausbay, Sara Hotchkiss",20.733333,-156.133333,2347,approximate (location/coordinates identified on a map),UW Madison,U.WI-Madison,core,,0,2.325,PI,LacCoreID: FTB-FTB05-1A / FieldID: Flat Top Core 1 / Date: 2005-08-01 / Water Depth: 0m / Sediment Depth: 0-2.325m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,1404,,5176
unknown,FTB,FTB-FTB05-1B,552,Country: USA / State/Province: Hawaii / County/Region: Maui,Flat Top Bog,wetland,FTB,FTB,1,B,1B,Flat Top Core 2,FTB-FTB05-1B,unknown,20050801,0,USA,Hawaii,Maui,"Shelly Crausbay, Sara Hotchkiss",20.733333,-156.133333,2347,approximate (location/coordinates identified on a map),UW Madison,U.WI-Madison,core,,0,2.15,PI,LacCoreID: FTB-FTB05-1B / FieldID: Flat Top Core 2 / Date: 2005-08-01 / Water Depth: 0m / Sediment Depth: 0-2.15m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,1405,,5177
